"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","212","Успешный логин существующего пользователя","","Tue Dec 17 21:30:36 GMT 2024","passed","Tue Dec 17 21:30:37 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2450","Ошибка при незаполненном email","","Tue Dec 17 21:30:35 GMT 2024","passed","Tue Dec 17 21:30:38 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2995","Успешный вход с валидными данными","","Tue Dec 17 21:30:41 GMT 2024","passed","Tue Dec 17 21:30:44 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","109","Ошибка при неверном email","","Tue Dec 17 21:30:36 GMT 2024","passed","Tue Dec 17 21:30:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2746","Ошибка при слишком коротком пароле","","Tue Dec 17 21:30:43 GMT 2024","passed","Tue Dec 17 21:30:45 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2635","Ошибка при отсутствии Email","","Tue Dec 17 21:30:40 GMT 2024","passed","Tue Dec 17 21:30:43 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2929","Ошибка при отсутствии полного имени","","Tue Dec 17 21:30:37 GMT 2024","passed","Tue Dec 17 21:30:40 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","872","Ошибка при неверном пароле","","Tue Dec 17 21:30:35 GMT 2024","passed","Tue Dec 17 21:30:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2252","Ошибка при незаполненных полях","","Tue Dec 17 21:30:39 GMT 2024","passed","Tue Dec 17 21:30:41 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","107","Ошибка при отсутствии email","","Tue Dec 17 21:30:36 GMT 2024","passed","Tue Dec 17 21:30:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2416","Ошибка при несовпадении паролей","","Tue Dec 17 21:30:45 GMT 2024","passed","Tue Dec 17 21:30:48 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","109","Ошибка при пустом теле запроса","","Tue Dec 17 21:30:36 GMT 2024","passed","Tue Dec 17 21:30:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","107","Ошибка при отсутствии password","","Tue Dec 17 21:30:36 GMT 2024","passed","Tue Dec 17 21:30:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2667","Успешная регистрация с валидными данными","","Tue Dec 17 21:30:48 GMT 2024","passed","Tue Dec 17 21:30:51 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
