"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26116","Ошибка при отсутствии полного имени","","Thu Dec 12 00:14:42 IST 2024","passed","Thu Dec 12 00:15:08 IST 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","5675","Ошибка при несовпадении паролей","","Thu Dec 12 00:15:29 IST 2024","passed","Thu Dec 12 00:15:35 IST 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","9024","Ошибка при отсутствии Email","","Thu Dec 12 00:15:11 IST 2024","passed","Thu Dec 12 00:15:20 IST 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","332","Ошибка при неверном email","","Thu Dec 12 00:14:40 IST 2024","passed","Thu Dec 12 00:14:40 IST 2024","API Тесты логина","api/tests/login.spec.js","",""
"","11589","Успешный вход с валидными данными","","Thu Dec 12 00:15:12 IST 2024","passed","Thu Dec 12 00:15:23 IST 2024","Тесты логина","ui/tests/login.spec.js","",""
"","471","Успешный логин существующего пользователя","","Thu Dec 12 00:14:42 IST 2024","passed","Thu Dec 12 00:14:42 IST 2024","API Тесты логина","api/tests/login.spec.js","",""
"","394","Ошибка при отсутствии password","","Thu Dec 12 00:14:41 IST 2024","passed","Thu Dec 12 00:14:41 IST 2024","API Тесты логина","api/tests/login.spec.js","",""
"","6869","Ошибка при незаполненном email","","Thu Dec 12 00:14:39 IST 2024","passed","Thu Dec 12 00:14:46 IST 2024","Тесты логина","ui/tests/login.spec.js","",""
"","331","Ошибка при пустом теле запроса","","Thu Dec 12 00:14:40 IST 2024","passed","Thu Dec 12 00:14:41 IST 2024","API Тесты логина","api/tests/login.spec.js","",""
"","368","Ошибка при отсутствии email","","Thu Dec 12 00:14:41 IST 2024","passed","Thu Dec 12 00:14:41 IST 2024","API Тесты логина","api/tests/login.spec.js","",""
"","22362","Ошибка при незаполненных полях","","Thu Dec 12 00:14:47 IST 2024","passed","Thu Dec 12 00:15:10 IST 2024","Тесты логина","ui/tests/login.spec.js","",""
"","747","Ошибка при неверном пароле","","Thu Dec 12 00:14:39 IST 2024","passed","Thu Dec 12 00:14:40 IST 2024","API Тесты логина","api/tests/login.spec.js","",""
"","5401","Успешная регистрация с валидными данными","","Thu Dec 12 00:15:36 IST 2024","passed","Thu Dec 12 00:15:41 IST 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","6363","Ошибка при слишком коротком пароле","","Thu Dec 12 00:15:21 IST 2024","passed","Thu Dec 12 00:15:27 IST 2024","Тесты регистрации","ui/tests/register.spec.js","",""
