"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2917","Ошибка при незаполненных полях","","Tue Dec 10 13:10:52 UTC 2024","passed","Tue Dec 10 13:10:54 UTC 2024","Тесты логина","ui/tests/login.spec.js","",""
"","3050","Успешная регистрация с валидными данными","","Tue Dec 10 13:11:05 UTC 2024","passed","Tue Dec 10 13:11:08 UTC 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","478","Ошибка при пустом теле запроса","","Tue Dec 10 13:10:50 UTC 2024","passed","Tue Dec 10 13:10:50 UTC 2024","API Тесты логина","api/tests/login.spec.js","",""
"","644","Ошибка при неверном пароле","","Tue Dec 10 13:10:48 UTC 2024","passed","Tue Dec 10 13:10:49 UTC 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3130","Ошибка при слишком коротком пароле","","Tue Dec 10 13:10:59 UTC 2024","passed","Tue Dec 10 13:11:02 UTC 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3438","Ошибка при отсутствии полного имени","","Tue Dec 10 13:10:52 UTC 2024","passed","Tue Dec 10 13:10:55 UTC 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","526","Ошибка при отсутствии email","","Tue Dec 10 13:10:50 UTC 2024","passed","Tue Dec 10 13:10:51 UTC 2024","API Тесты логина","api/tests/login.spec.js","",""
"","481","Ошибка при неверном email","","Tue Dec 10 13:10:49 UTC 2024","passed","Tue Dec 10 13:10:50 UTC 2024","API Тесты логина","api/tests/login.spec.js","",""
"","465","Ошибка при отсутствии password","","Tue Dec 10 13:10:51 UTC 2024","passed","Tue Dec 10 13:10:51 UTC 2024","API Тесты логина","api/tests/login.spec.js","",""
"","577","Успешный логин существующего пользователя","","Tue Dec 10 13:10:51 UTC 2024","passed","Tue Dec 10 13:10:52 UTC 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3227","Ошибка при несовпадении паролей","","Tue Dec 10 13:11:02 UTC 2024","passed","Tue Dec 10 13:11:05 UTC 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2807","Ошибка при незаполненном email","","Tue Dec 10 13:10:48 UTC 2024","passed","Tue Dec 10 13:10:51 UTC 2024","Тесты логина","ui/tests/login.spec.js","",""
"","3749","Успешный вход с валидными данными","","Tue Dec 10 13:10:55 UTC 2024","passed","Tue Dec 10 13:10:58 UTC 2024","Тесты логина","ui/tests/login.spec.js","",""
"","3436","Ошибка при отсутствии Email","","Tue Dec 10 13:10:55 UTC 2024","passed","Tue Dec 10 13:10:59 UTC 2024","Тесты регистрации","ui/tests/register.spec.js","",""
